STATION_NO,R_STATION,R_CTRY,R_LATITUDE,R_LONGITUD,R_ALTITUDE,R_RAINHEIGHT,R_HEIGHT,R_ANT_BEAM,ZONE,ANTEN_TYPE,ANTEN_DIAM,FEED,PROT_RAD,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,SATEL_NAME,SATEL_POS,TYPE,START_DATE,END_DATE,DURATION,FREQUENCY,POL_L_C,POLAR,ELEVATION,RAIN_CONC,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_GAUGE,RAIN_RES,RAIN_TIME,LOC_GAUGE,ATT_E_T,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG1,FLAG2,FLAG3,FLAG4,FLAG5,FLAG6,FLAG7,FLAG8,REFERENCES_EXP,COMMENTS
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,1,CTS,244,BCN,01/06/1977,01/05/1978,365,11.7,C,45,24,Y,,,,,,,,,,96,82.5,75.5,67.5,58,41.5,34.1,26.6,19,11.7,8.8,6.2,3.8,,,,,,,,,,,,10.3,6.4,4.8,3.4,2.1,,,,,,,,,,,,1.00E-02,1.00E-01,1.00E-02,1.00E-01,0E,,,,NACKONEY &,I08
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,2,CTS,244,BCN,01/06/1978,01/05/1979,365,11.7,C,45,24,Y,,,,,,,,,,86,71.2,63.8,55.5,46,33.5,27.8,22,16,10.3,8,5.7,3.7,,,,,,,,15.3,12.7,11.4,9.9,8.2,5.2,4,2.8,1.8,,,,,,,,,,,,1.00E-02,1.00E-01,1.00E-02,1.00E-01,0E,,,,NACKONEY &,I08
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,3,CMST23,265,BCN,01/01/1978,01/12/1978,365,19,L,0,35.5,Y,,,,,,,,,,90,72,62.8,52.8,42,30,25,19.9,14,8.6,6.5,4.5,2.8,,,,,,,,,,,,28,14.3,9.6,5.9,3,,,,,,,,,,,,1.00E-02,1.00E-01,1.00E-02,1.00E-01,0E,,,,TANG 79,I08
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,4,CMST3,273,BCN,01/01/1979,01/12/1979,365,19,L,0,38.5,Y,,,,,,,,,,93,80,72.7,63.8,53,42,35.2,27,18,11,8,5.3,3,,,,,,,,,,,,18.7,14.8,12.7,10.3,7.5,5,4,3,2.1,,,,,,,,1.00E-02,1.00E+00,1.00E-02,1.00E+00,0E,,,,TANG & AL,I08
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,5,CMST23,265,BCN,01/01/1978,01/12/1978,365,28.6,L,90,35.5,Y,,,,,,,,,,90,72,62.8,52.8,42,30,25,19.9,14,8.6,6.5,4.5,2.8,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,1.00E-02,1.00E-01,0.00E+00,0.00E+00,,,,,TANG 79,I08. removed attenuation cdf (only 1 point)
102,WALTHAM,US,42.4,288.7,0,3.6145 ,0,,K,,,,,,,,,,,6,CMST3,273,BCN,01/01/1979,01/12/1979,365,28.6,L,90,38.5,Y,,,,,,,,,,93,80,72.7,63.8,53,42,35.2,27,18,11,8,5.3,3,,,,,,,,,,,,,,,,18.8,12.6,9.7,6.7,4,,,,,,,,1.00E-01,1.00E+00,1.00E-01,1.00E+00,0E,,,,TANG & AL,I08
103,GRANT PARK,US,41.1,272.6,100,3.9545 ,,,K,,,,,,,,,,,1,CMST1,232,BCN,01/07/1976,01/06/1977,365,19,L,90,21,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,0.00E+00,0.00E+00,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
103,GRANT PARK,US,41.1,272.6,100,3.9545 ,,,K,,,,,,,,,,,2,CMST2,265,BCN,01/08/1977,01/08/1978,365,19,L,90,41.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,0.00E+00,0.00E+00,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
103,GRANT PARK,US,41.1,272.6,100,3.9545 ,,,K,,,,,,,,,,,3,CMST1,232,BCN,01/07/1976,01/06/1977,365,28.6,L,90,27.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.00E+00,0.00E+00,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
103,GRANT PARK,US,41.1,272.6,100,3.9545 ,,,K,,,,,,,,,,,4,CMST2,265,BCN,01/08/1977,01/08/1978,365,28.6,L,90,41.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,0.00E+00,0.00E+00,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
104,HOLMDEL,US,40.4,285.9,110,3.7068 ,,,K,,,,,,,,,,,1,CTS,244,BCN,01/04/1976,01/04/1977,365,11.7,C,45,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5.7,3.4,3,2.8,2.5,2.2,1.9,1.8,1.1,0.6,,,,,,,,,,0.00E+00,0.00E+00,0E,,,,RUSTAKO 82,I08
104,HOLMDEL,US,40.4,285.9,110,3.7068 ,,,K,,,,,,,,,,,2,CTS,244,BCN,01/04/1977,01/04/1978,365,11.7,C,45,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,18.7,13.5,9.2,7.3,5,3,2.2,1.8,1.1,0.6,,,,,,,,,,3.00E-03,1.00E+00,0E,,,,RUSTAKO 82,I08
