ATT001,ATT002,ATT003,ATT005,ATT01,ATT02,ATT03,ATT05,ATT_1,ATT_2,ATT_3,ATT_5,ATT1,ATT2,ATT3,ATT5,ATT10,ATT20,ATT30,ATT50,,R_LATITUDE,R_LONGITUD,R_RAINHEIGHT,R_ALTITUDE,R_RAINHEIGHT2,R_HEIGHT,R_ANT_BEAM,ANTEN_DIAM,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,DURATION,FREQUENCY,POLAR,ELEVATION,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_RES,FLAG1,FLAG2,FLAG3,FLAG4,RAIN_TIME,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG5
4.438788501,3.722321039,3.358038708,2.948382337,2.472095422,1.675706589,1.333903266,0.999594451,0.676219323,0.385035552,0.276574632,0.184140692,0.104278082,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,1,365,11.7,45,24,0,0,0,0,0,0.01,0.10,0.01,0.10,0,96,82.5,75.5,67.5,58,41.5,34.1,26.6,19,11.7,8.8,6.2,3.8,0,0,0,0,0,0,0,0,0,0,0,10.3,6.4,4.8,3.4,2.1,0,0,0,0,0,0,0,0,0,0,0,0E
3.906371765,3.136926455,2.76150132,2.348760835,1.888560707,1.306679919,1.052162858,0.801757325,0.553855234,0.332055099,0.247589554,0.167006484,0.101097406,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,2,365,11.7,45,24,0,0,0,0,0,0.01,0.10,0.01,0.10,0,86,71.2,63.8,55.5,46,33.5,27.8,22,16,10.3,8,5.7,3.7,0,0,0,0,0,0,0,15.3,12.7,11.4,9.9,8.2,5.2,4,2.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0E
9.451436335,7.467956111,6.46441297,5.382907729,4.227744431,2.963870463,2.444990944,1.921689826,1.325775935,0.792644854,0.58984258,0.400091624,0.24246716,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,3,365,19,0,35.5,0,0,0,0,0,0.01,0.10,0.01,0.10,0,90,72,62.8,52.8,42,30,25,19.9,14,8.6,6.5,4.5,2.8,0,0,0,0,0,0,0,0,0,0,0,28,14.3,9.6,5.9,3,0,0,0,0,0,0,0,0,0,0,0,0E
9.712778705,8.287942312,7.493152282,6.529983059,5.37095586,4.20350831,3.489757701,2.639034012,1.721545885,1.024657946,0.732598176,0.474756256,0.260659356,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,4,365,19,0,38.5,0,0,0,0,0,0.01,1.00,0.01,1.00,0,93,80,72.7,63.8,53,42,35.2,27,18,11,8,5.3,3,0,0,0,0,0,0,0,0,0,0,0,18.7,14.8,12.7,10.3,7.5,5,4,3,2.1,0,0,0,0,0,0,0,0E
13.63277351,11.07782004,9.755181321,8.301940679,6.710397147,4.907312557,4.141924882,3.350022227,2.415503797,1.535268522,1.183329492,0.840577903,0.540679175,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,5,365,28.6,90,35.5,0,0,0,0,0,0.01,0.10,0.00,0.00,0,90,72,62.8,52.8,42,30,25,19.9,14,8.6,6.5,4.5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,
14.13502191,12.28607541,11.2388887,9.952237928,8.373952632,6.743276233,5.720766113,4.469081762,3.063872632,1.937048708,1.440043203,0.981505743,0.577806725,0,0,0,0,0,0,0,,42.4,288.7,3.6145,0,3.6145,0,0,0,0,0,0,0,0,0,6,365,28.6,90,38.5,0,0,0,0,0,0.10,1.00,0.10,1.00,0,93,80,72.7,63.8,53,42,35.2,27,18,11,8,5.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,12.6,9.7,6.7,4,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.1,272.6,3.9545,100,3.8545,0,0,0,0,0,0,0,0,0,1,365,19,90,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.1,272.6,3.9545,100,3.8545,0,0,0,0,0,0,0,0,0,2,365,19,90,41.8,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.1,272.6,3.9545,100,3.8545,0,0,0,0,0,0,0,0,0,3,365,28.6,90,27.3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.1,272.6,3.9545,100,3.8545,0,0,0,0,0,0,0,0,0,4,365,28.6,90,41.8,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,
